"Classe";"Texto";"Sentimento_Microsoft"
"Positivo";"O #BancoDoBrasil já me deixou uma mensagem de parabéns. O 1º.";0,673078536987305
"Positivo";"Bora ser seu próprio chefe, trabalhar com esportes e ganhar 20 mil reais? A #InterU e o @BancoDoBrasil explicam como: http://t.co/ZgbqthSluF";0,876439392566681
"Positivo";"Parabens ao @BancodoBrasil #circuitobancodobrasil por um evento desse nivel! Esse banco tem historia no esporte! http://t.co/GBHjhVCIxu";0,718969583511353
"Positivo";"PARABÉNS AO #BANCODOBRASIL, ORGANIZAÇÃO IMPECÁVEL, NENHUM ARTISTA ATRASOU A APRESENTAÇÃO, ALGUNS COMEÇARAM ATÉ ANTES!";0,965161323547363
"Positivo";"n consigo acreditar que o extrato em pdf do #bb é melhor que o do #itau, muito ruim o extrato gerado pelo #itau #fail";0,142857149243355
"Positivo";"Esqueci o cartão em casa a caminho da rodoviária,acabei d descobrir que da pra sacar dinheiro s/ o cartão, amando muito o @bradesco agora :)";0,916666686534882
"Positivo";"Sendo muito bem atendido pelo pessoal do @alobradesco";0,767493486404419
"Positivo";"@AloBradesco é o canal mais rápido de resposta do banco. Solução prometida para amanhã. Até lá.";0,545097231864929
"Positivo";"Hércules, Regilandio e Stefano do @AloBradesco resolveram migração para o MAC. Obrigado pelas partes envolvidas";0,68558406829834
"Positivo";"#Bradesco e #Itau PARABENS pela responsabilidade social. #EuNoTeleton";0,573538899421692
"Positivo";"#EuNoTeleton eo   @Bradesco tambem  

   #EuNoTeleton + Voce = Nós ..só depende de Nós";0,551846325397491
"Positivo";"R$ 1.2 MIl! Doação do @Bradesco para o #TeletonBrasil2013.";0,773779392242432
"Positivo";"Parabens @Bradesco pela Doaçao de 1milhão e 200 mil #EUNoTeleton";0,579865097999573
"Positivo";"Bradesco - O banco @Bradesco doou R$1.200.000,00 @TeletonOficial. Twitteiros parabenizam . #TudoTrendsBR";0,670129001140594
"Positivo";"#Itaú e #Bradesco juntos por uma ótima causa.... Louvável";0,924982190132141
"Positivo";"@angelicamari @Bradesco aqui o Bradesco vai bem em chrome!";0,83684253692627
"Positivo";"Mais uma vez obrigado @AloBradesco pela eficiência no trato com os clientes.";0,967121183872223
"Positivo";"Esses dias fiz uma reclamação do #Bradesco aqui no twitter e a equipe do @AloBradesco foi bem atenciosa...";0,631665825843811
"Positivo";"O @Bradesco @AloBradesco me ligou e resolveu meu problema rapidinho. Valeu Bradesco!!";0,559941232204437
"Positivo";"EU SIGO E INDICO &gt;&gt;&gt;&gt;&gt;@Bradesco";0,544761955738068
"Positivo";"Atendimento do @AloBradesco sempre excelente. Token ativo sem precisar ir ao banco. Aprende com eles @HSBC_Atende.";0,774005830287933
"Positivo";"@AloBradesco Obrigado pela atenção";0,719239234924316
"Positivo";"Meu cartão Visa acabou de chegar, obrigada @AloBradesco &lt;3";0,69391006231308
"Positivo";"Impressionante o poder da rede social ! O @AloBradesco funciona MUITO melhor que o fone fácil !!! Obrigado bradesco !!!";0,93478262424469
"Positivo";"Muito feliz com o @alobradesco ! Resolveram tudo pra mim !!! Ja o fone fácil , espero que caia uma bomba lá e exploda todo mundo !!!!";0,733966290950775
"Positivo";"Fiz meu primeiro saque na agência totalmente digital do #Bradesco - agência do futuro. http://t.co/3PSMTL6oNN";0,55480432510376
"Positivo";"O @AloBradesco é a Amélia dos bancos. Cozinha, lava, passa, arruma. Como nenhuma outra!";0,57174950838089
"Positivo";"Caralho, que propaganda foda do #bradesco #queroquetodomundotenha";0,112551152706146
"Positivo";"Achei muito fofa essa propaganda natal do #bradesco parabens quem desenvolveu";0,734879612922668
"Positivo";"Gostei dessa menina: quer muitas férias para todo mundo em 2014! #Bradesco";0,619568347930908
"Positivo";"Consegui ser atendido no #Bradesco, obrigado. Depois de 1 hora e meia.";0,722429037094116
"Positivo";"As atendentes do @AloBradesco devem ganhar muito bem. Pq são de uma cordialidade nunca vista em outros bancos.";0,734575390815735
"Positivo";"Obrigada ao pessoal do @AloBradesco @Bradesco pelo presente de Natal! http://t.co/vyBaBrKscO";0,98224800825119
"Positivo";"Q surpresa agradavel chegar em casa e ter um presentão do @AloBradesco, terceiro ano ja que sou mimado com uma cesta de natal. Obg senhores!";0,557086706161499
"Positivo";"@AloBradesco um bom final de ano pra tds xoxal medias ae e obg pelas ajudas durante o ano :D (coloca esse tweet no relatorio)";0,93478262424469
"Positivo";"Estamos ficando mal acostumados, @naosalvo. O pessoal do @AloBradesco  ta estragando a gente com esses presentes :P";0,0142925381660461
"Positivo";"@azaghal @AloBradesco continuem assim ahuhuahuahu";0,562114834785461
"Positivo";"E aí, você chega em casa e descobre que ganhou aquele PRESENTÃO do @aloBradesco. Um feliz 2014 pra http://t.co/fuQYN69hyu";0,887545049190521
"Positivo";"Meus filhos quase não ficaram alucinados com o bau do do @AloBradesco http://t.co/kfQa13Mts5";0,185275554656982
"Positivo";"#FF @ImprensaCAIXA =&gt; Agenda #cultural pelo país e notícias da @CAIXA";0,382205963134766
"Positivo";"@Caixa estuda prorrogar dívida da OSX http://t.co/bTXKtHKAe9 Da série ""o meu, o seu, o nosso""...";0,429086744785309
"Positivo";"Que se lixem os anéis, venha o capital..! #caixa #pt";0,760809004306793
"Positivo";"Construção beneficia famílias com renda até R$ 1,6 mil. http://t.co/uCoTukQVGS #MinhaCasaMinhaVida @CAIXA @ImprensaCaixa";0,58048689365387
"Positivo";"#BolsaPódio @aldorebelo:""A @CAIXA é uma grande parceira do esporte brasileiro e uma presença importante p/ ginástica"" http://t.co/fJRIGXwzAw";0,780681192874908
"Positivo";"#BrasilSemMiséria já saiu! http://t.co/Y4vcn8HznC Graças a @CAIXA";0,706132411956787
"Positivo";"Mas um dia de trabalho !!! ?????? #bomdia #trabalho #mywork #work #clarobrasil #mylife #lifeisbutadream http://t.co/TGBNg1SZhu";0,589309573173523
"Positivo";"FINALMENTE CONSEGUI A PORTABILIDADE - QUASE SEM ESFORÇO. OBRIGADO, @ClaroBlog! &lt;3 &lt;3 &lt;3 http://t.co/gMtjTMezlF";0,990099847316742
"Positivo";"Novo dia, Novas metas, novos desafios... Hora de Produzir!!! ???????????? #bomdia #mywork #clarobrasil http://t.co/vVwk8hhv65";0,652338981628418
"Positivo";"Bom dia Hoje é dia de Ação Externa!!! Simbora produzir... ?????????????????? #bomdia #clarobrasil #vempraclaro http://t.co/nQ9Ddf0XxA";0,77027028799057
"Positivo";"Ação Externa !!! ????????????? #clarobrasil #sejoga #vempraclaro #trabalho #mywork #love #equipeplanet http://t.co/E5Zbv1jAYV";0,493643552064896
"Positivo";"obgrigada @claro pelo tt mobile de graça \o/";0,639207482337952
"Positivo";"Muito obrigado @ClaroBlog pelo presente de 200 torpedos";0,761214554309845
"Positivo";"@ClaroBlog Sou cliente da Claro a 6 anos e meio e nunca tive sérios problemas, ja em uma concorrente foram 3 meses de tortura!";0,203108072280884
"Positivo";"Opa, curti, parece que acesso ao facebook pela claro está de grátis. #ClaroBrasil #ClaroRonaldo #Chupa3g  @claroronaldo @ClaroBrasil";0,621805548667908
"Positivo";"É por isso que as vezes eu gosto da #Claro! http://t.co/uTI4cqvriq";0,649955153465271
"Positivo";"Obrigada @claro";0,766573369503021
"Positivo";"Essa 3G da @claro é uma beleza.";0,913685858249664
"Positivo";"Hoje é dia de ser Feliz... ????????????? #bomdia #trabalho #clarobrasil #foco #força #fe http://t.co/BE8YalDtMl";0,818164229393005
"Positivo";"Obrigado, @claroronaldo @clarobrasil, finalmente eu consegui fazer meu modem funcionar depois de UM ANO usando a @timbrasil.";0,759727656841278
"Positivo";"Gente eu aqui passado com a velocidade do 4G do iPhone 5S da #Claro (Perfeito)";0,815978288650513
"Positivo";"@Gusbelli @claro eu uso e não tenho problemas aqui no Rio.";0,182194769382477
"Positivo";"@danicarolp @claro eles estão com um pacotes combos com a @NEToficial que parecem interessantes";0,606880843639374
"Positivo";"obrigadomas poxa RT @ClaroBlog: Olá, Neto. Pode ficar tranquilo que o acesso será liberado em dezembro. Conte com a gente se precisar.";0,685895264148712
"Positivo";"A Internet 4G da #Claro é outro nível hein !!!! Luxo, Poder e Glória !!!";0,954545438289642
"Positivo";"@ClaroBlog Enfim, como vcs já me ajudaram... conto com vcs mais uma vez...";0,520878791809082
"Positivo";"Confraternização da clarobrasil .Amo muito tudo isso ????????? #confraternizacao #clarobrasil http://t.co/tvPQLxtdJq";0,447941243648529
"Positivo";"É Claro que é a melhor Equipe !!! ?????????? #clarobrasil #equipeplanet #trabalho #mywork http://t.co/FsDSkDuwvr";0,840581715106964
"Positivo";"Equipe Claro @planetcellcg 
Equipe Bombacao !!! ????????????? #clarobrasil #equipeplanet #equipebombacao http://t.co/Br4rLSsn3D";0,651564478874207
"Positivo";"demorou, mas enfim a dona @ClaroBrasil resolveu atender minha solicitação...";0,635758101940155
"Positivo";"E viva o #4GMax da #Claro!!! \0/ http://t.co/hWakXeTpNl";0,774429321289062
"Positivo";"como presente de natal a minha 3g está muito rápida obg @vivo";0,800656616687775
"Positivo";"4G da @ClaroBlog até agora funcionando muito bem.";0,781145572662354
"Positivo";"@NFumache @ClaroBlog o 3G comigo sempre funciona muito bem também rsrsrs";0,983298301696777
"Neutro";"Alguém usa @claro ? Estou pensando em sair da @TIMBrasil para Claro , falem agora ou calem para sempre. ;)";0,531518161296844
"Neutro";"Cansaço me define !!! ???????? #trabalho #mywork #cansado #clarobrasil #mundodoramonknowles @ Terminal http://t.co/yZ5vAUx1Yz";0,211285993456841
"Neutro";"@NickyDLoBasico yo toy @claro la company";0,518395721912384
"Neutro";"Esperando a loja abrir (at @ClaroBlog) http://t.co/Vkiju6IHDR";0,558489799499512
"Neutro";"@ClaroBlog DM urgente! Obrigado";0,769496142864227
"Neutro";"@ClaroBlog e ainda fazendo venda casada de iphone com chip";0,445604085922241
"Neutro";"Bom dia Feliz pra Todos!!! ??????????????? #trabalho #mywork #bomdia #clarobrasil #sejogavempraclarovem http://t.co/CRlxjAT7sG";0,80303031206131
"Neutro";"@claro me pasas el asterisco de corporativo por favor";0,347436904907227
"Neutro";"Bom dia Mundo! ??????????? #trabalho #mywork #trabalho #Top #clarobrasil #equipeplanet #EquipeBombação http://t.co/NbXLd65RCo";0,844827592372894
"Neutro";"Reunião com a Equipe Claro Planet Cell... ????????????????????  #trabalho #clarobrasil #Dezembro #equipeplanet http://t.co/XKX22NVMm1";0,537622451782227
"Neutro";"#claro #job #bdaydeborah @ Shopping La Plage http://t.co/COh1fL2KDL";0,658160209655762
"Neutro";"Lindas @PryOliveira__ e karinealbuquerqueb ??????????? #confraternizacao #clarobrasil #love http://t.co/K1681J9ZgK";0,679013967514038
"Neutro";"Confraternização da clarobrasil Equipe @planetcellcg ????????????????? #clarobrasil #equipeplanet http://t.co/Ud3LlylpLF";0,389937967061996
