"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"110001 Alta Floresta D'Oeste";4;2;0;4;0;3;13
"110037 Alto Alegre dos Parecis";5;0;0;0;0;1;6
"110040 Alto Paraíso";10;1;1;9;0;6;27
"110034 Alvorada D'Oeste";2;0;0;3;0;5;10
"110002 Ariquemes";62;32;2;122;2;61;281
"110045 Buritis";8;1;1;16;0;11;37
"110003 Cabixi";1;1;0;0;0;1;3
"110060 Cacaulândia";1;0;0;2;0;2;5
"110004 Cacoal";57;4;0;54;0;42;157
"110070 Campo Novo de Rondônia";1;0;0;7;0;7;15
"110080 Candeias do Jamari";10;5;0;41;1;17;74
"110090 Castanheiras";0;0;0;3;0;2;5
"110005 Cerejeiras";11;4;0;10;0;6;31
"110092 Chupinguaia";5;2;0;5;0;6;18
"110006 Colorado do Oeste";10;6;0;7;0;4;27
"110007 Corumbiara";2;2;0;1;0;1;6
"110008 Costa Marques";1;1;0;11;1;6;20
"110094 Cujubim";0;2;0;10;0;5;17
"110009 Espigão D'Oeste";4;2;0;7;1;11;25
"110100 Governador Jorge Teixeira";0;0;0;3;0;2;5
"110010 Guajará-Mirim";23;2;0;50;1;32;108
"110110 Itapuã do Oeste";2;0;0;3;0;1;6
"110011 Jaru";8;3;1;29;1;26;68
"110012 Ji-Paraná";45;10;2;132;0;142;331
"110013 Machadinho D'Oeste";3;2;1;14;0;3;23
"110120 Ministro Andreazza";1;1;0;5;0;0;7
"110130 Mirante da Serra";2;1;0;2;0;3;8
"110140 Monte Negro";5;2;1;6;1;3;18
"110014 Nova Brasilândia D'Oeste";7;1;0;10;0;7;25
"110033 Nova Mamoré";5;3;0;17;0;6;31
"110143 Nova União";3;0;0;1;0;2;6
"110015 Ouro Preto do Oeste";7;5;1;27;0;22;62
"110145 Parecis";1;0;0;0;0;0;1
"110018 Pimenta Bueno";8;4;0;14;0;41;67
"110146 Pimenteiras do Oeste";0;0;0;0;0;1;1
"110020 Porto Velho";411;89;32;1595;3;921;3051
"110025 Presidente Médici";8;3;0;16;0;20;47
"110147 Primavera de Rondônia";0;0;0;1;0;1;2
"110026 Rio Crespo";1;0;0;1;0;2;4
"110028 Rolim de Moura";16;2;1;33;0;26;78
"110029 Santa Luzia D'Oeste";2;0;0;4;0;1;7
"110148 São Felipe D'Oeste";1;0;0;1;0;0;2
"110149 São Francisco do Guaporé";0;0;0;1;1;3;5
"110032 São Miguel do Guaporé";2;0;0;2;0;1;5
"110150 Seringueiras";0;0;0;3;0;0;3
"110155 Teixeirópolis";1;0;0;5;0;0;6
"110160 Theobroma";0;1;0;3;0;0;4
"110170 Urupá";0;0;0;3;0;2;5
"110175 Vale do Anari";0;0;0;0;0;1;1
"110180 Vale do Paraíso";0;0;0;1;0;1;2
"110030 Vilhena";154;23;3;76;0;82;338
"110000 Município ignorado - RO";2;0;0;1;0;2;5
"120001 Acrelândia";3;3;0;6;0;3;15
"120005 Assis Brasil";0;0;0;3;0;2;5
"120010 Brasiléia";3;0;0;8;0;4;15
"120013 Bujari";1;0;0;2;0;1;4
"120017 Capixaba";0;2;0;3;0;2;7
"120020 Cruzeiro do Sul";2;0;0;21;0;8;31
"120025 Epitaciolândia";1;2;0;4;0;3;10
"120033 Mâncio Lima";0;0;0;1;0;1;2
"120034 Manoel Urbano";0;1;0;15;2;3;21
"120035 Marechal Thaumaturgo";0;0;0;1;0;0;1
"120038 Plácido de Castro";0;0;0;9;0;5;14
"120080 Porto Acre";1;1;0;2;0;1;5
"120039 Porto Walter";1;0;0;0;0;0;1
"120040 Rio Branco";75;43;1;424;1;217;761
"120042 Rodrigues Alves";0;0;0;3;0;1;4
"120043 Santa Rosa do Purus";0;0;0;0;0;1;1
"120050 Sena Madureira";7;1;1;25;0;10;44
"120045 Senador Guiomard";1;4;0;17;0;8;30
"120060 Tarauacá";1;1;0;2;0;0;4
"120070 Xapuri";1;1;0;6;0;1;9
"130002 Alvarães";0;0;0;1;1;1;3
"130006 Amaturá";0;0;0;5;0;5;10
"130008 Anamã";0;0;0;1;0;1;2
"130010 Anori";0;0;0;2;0;2;4
"130014 Apuí";9;4;0;8;0;7;28
"130020 Atalaia do Norte";1;1;0;5;1;6;14
"130030 Autazes";6;0;0;17;1;9;33
"130040 Barcelos";3;0;0;4;0;3;10
"130050 Barreirinha";0;0;0;13;1;8;22
"130060 Benjamin Constant";3;3;0;59;12;16;93
"130063 Beruri";0;0;0;5;1;2;8
"130068 Boa Vista do Ramos";1;0;0;4;0;3;8
"130070 Boca do Acre";3;0;0;2;1;5;11
"130080 Borba";3;1;0;27;0;14;45
"130083 Caapiranga";1;0;0;2;0;0;3
"130090 Canutama";1;0;0;2;0;1;4
"130100 Carauari";1;0;0;5;0;8;14
"130110 Careiro";1;1;0;24;0;6;32
"130115 Careiro da Várzea";1;0;0;9;0;4;14
"130120 Coari";0;0;0;26;0;44;70
"130130 Codajás";0;0;1;5;0;4;10
"130140 Eirunepé";2;0;0;4;1;10;17
"130150 Envira";1;0;0;0;0;0;1
"130160 Fonte Boa";0;0;0;10;1;7;18
"130170 Humaitá";8;4;1;54;2;12;81
"130185 Iranduba";7;1;1;57;2;43;111
"130190 Itacoatiara";13;3;1;118;2;54;191
"130195 Itamarati";2;0;0;0;0;0;2
"130200 Itapiranga";0;0;0;4;0;3;7
"130210 Japurá";1;1;0;3;0;0;5
"130230 Jutaí";0;0;0;1;0;4;5
"130240 Lábrea";3;0;0;5;2;4;14
"130250 Manacapuru";6;2;1;86;1;57;153
"130255 Manaquiri";1;0;0;10;0;5;16
"130260 Manaus";1120;194;47;6639;48;5075;13123
"130270 Manicoré";3;2;0;26;0;15;46
"130280 Maraã";0;0;0;6;1;1;8
"130290 Maués";5;0;0;37;0;22;64
"130300 Nhamundá";0;0;0;2;0;1;3
"130310 Nova Olinda do Norte";1;0;0;8;0;10;19
"130320 Novo Airão";1;1;0;16;1;8;27
"130330 Novo Aripuanã";1;0;0;7;0;1;9
"130340 Parintins";19;3;0;187;3;63;275
"130350 Pauini";0;0;0;1;0;0;1
"130353 Presidente Figueiredo";4;3;1;30;1;25;64
"130356 Rio Preto da Eva";6;2;0;31;1;20;60
"130360 Santa Isabel do Rio Negro";0;0;0;1;0;0;1
"130370 Santo Antônio do Içá";0;2;0;10;2;7;21
"130380 São Gabriel da Cachoeira";3;1;0;3;2;6;15
"130390 São Paulo de Olivença";0;0;0;14;4;23;41
"130395 São Sebastião do Uatumã";0;0;0;3;0;2;5
"130400 Silves";0;0;0;5;0;0;5
"130406 Tabatinga";15;4;1;117;7;92;236
"130410 Tapauá";0;0;0;1;0;1;2
"130420 Tefé";1;2;0;98;5;76;182
"130423 Tonantins";0;0;0;3;0;2;5
"130426 Uarini";0;0;0;8;0;2;10
"130430 Urucará";0;0;0;6;0;2;8
"130440 Urucurituba";1;0;0;17;0;6;24
"130000 Município ignorado - AM";1;0;0;2;0;1;4
"140005 Alto Alegre";1;1;0;5;1;2;10
"140002 Amajari";2;0;0;4;0;2;8
"140010 Boa Vista";208;85;11;839;41;558;1742
"140015 Bonfim";3;2;0;8;11;10;34
"140017 Cantá";1;1;1;9;2;10;24
"140020 Caracaraí";2;2;0;15;1;11;31
"140023 Caroebe";0;0;0;6;1;1;8
"140028 Iracema";0;0;0;3;0;4;7
"140030 Mucajaí";4;4;1;27;1;14;51
"140040 Normandia";0;0;0;3;3;1;7
"140045 Pacaraima";4;0;0;6;6;9;25
"140047 Rorainópolis";7;1;0;18;0;7;33
"140050 São João da Baliza";1;0;0;7;0;9;17
"140060 São Luiz";0;2;0;3;0;0;5
"140070 Uiramutã";2;0;0;2;0;0;4
"140000 Município ignorado - RR";2;3;0;0;0;1;6
"150010 Abaetetuba";10;4;1;90;0;127;232
"150013 Abel Figueiredo";1;0;0;1;0;6;8
"150020 Acará";0;1;1;18;0;14;34
"150030 Afuá";0;2;0;6;0;0;8
"150034 Água Azul do Norte";1;0;0;0;0;2;3
"150040 Alenquer";0;0;0;9;0;20;29
"150050 Almeirim";2;0;0;5;0;12;19
"150060 Altamira";10;5;0;47;0;88;150
"150070 Anajás";0;1;0;5;0;3;9
"150080 Ananindeua";174;38;3;706;2;1277;2200
"150085 Anapu";0;1;0;10;0;14;25
"150090 Augusto Corrêa";0;0;0;16;0;70;86
"150095 Aurora do Pará";0;1;0;2;0;6;9
"150100 Aveiro";0;0;0;3;0;3;6
"150110 Bagre";1;0;0;3;0;3;7
"150120 Baião";0;0;0;18;0;14;32
"150125 Bannach";0;0;0;2;0;1;3
"150130 Barcarena";6;3;0;73;0;178;260
"150140 Belém";391;158;8;2372;7;6400;9336
"150145 Belterra";1;0;0;7;0;6;14
"150150 Benevides";5;2;0;53;0;90;150
"150157 Bom Jesus do Tocantins";0;0;0;2;0;5;7
"150160 Bonito";1;0;0;2;0;2;5
"150170 Bragança";9;2;0;62;0;231;304
"150172 Brasil Novo";1;0;0;2;0;7;10
"150175 Brejo Grande do Araguaia";0;0;0;4;0;2;6
"150178 Breu Branco";1;0;0;27;0;58;86
"150180 Breves";2;1;0;19;0;19;41
"150190 Bujaru";1;1;0;25;0;29;56
"150200 Cachoeira do Arari";0;0;0;8;0;7;15
"150195 Cachoeira do Piriá";1;0;0;8;1;22;32
"150210 Cametá";1;2;1;18;0;30;52
"150215 Canaã dos Carajás";3;4;0;47;0;25;79
"150220 Capanema";9;0;0;32;0;66;107
"150230 Capitão Poço";0;1;0;22;0;17;40
"150240 Castanhal";31;13;0;174;1;335;554
"150250 Chaves";0;0;0;1;0;2;3
"150260 Colares";0;0;0;10;0;9;19
"150270 Conceição do Araguaia";3;0;0;21;0;28;52
"150275 Concórdia do Pará";0;0;0;9;0;11;20
"150276 Cumaru do Norte";1;2;0;9;0;12;24
"150277 Curionópolis";4;6;0;30;0;29;69
"150280 Curralinho";0;0;0;6;0;4;10
"150285 Curuá";0;0;0;3;0;6;9
"150290 Curuçá";1;1;0;34;0;31;67
"150293 Dom Eliseu";3;3;0;31;0;56;93
"150295 Eldorado dos Carajás";3;5;0;41;0;33;82
"150300 Faro";0;0;0;4;0;0;4
"150304 Floresta do Araguaia";3;1;0;7;0;13;24
"150307 Garrafão do Norte";0;0;0;9;0;3;12
"150309 Goianésia do Pará";4;1;1;24;1;40;71
"150310 Gurupá";1;1;0;14;0;10;26
"150320 Igarapé-Açu";5;0;0;25;0;22;52
"150330 Igarapé-Miri";1;1;0;10;0;27;39
"150340 Inhangapi";1;0;0;3;0;4;8
"150345 Ipixuna do Pará";1;2;0;15;0;26;44
"150350 Irituia";2;2;0;7;0;19;30
"150360 Itaituba";10;8;0;84;1;158;261
"150370 Itupiranga";2;3;0;17;0;35;57
"150375 Jacareacanga";0;0;0;3;0;10;13
"150380 Jacundá";1;0;0;43;0;61;105
"150390 Juruti";0;0;0;17;0;9;26
"150400 Limoeiro do Ajuru";0;0;0;6;0;5;11
"150405 Mãe do Rio";3;1;0;40;0;26;70
"150410 Magalhães Barata";0;0;0;6;0;3;9
"150420 Marabá";16;10;1;286;2;532;847
"150430 Maracanã";1;0;1;15;0;13;30
"150440 Marapanim";4;1;0;17;0;25;47
"150442 Marituba";29;5;0;186;0;276;496
"150445 Medicilândia";0;1;0;5;0;7;13
"150450 Melgaço";0;1;0;0;0;0;1
"150460 Mocajuba";0;0;0;7;0;4;11
"150470 Moju";0;0;0;26;0;39;65
"150480 Monte Alegre";0;0;0;17;0;19;36
"150490 Muaná";0;0;0;9;0;15;24
"150495 Nova Esperança do Piriá";0;0;0;1;0;0;1
"150497 Nova Ipixuna";1;0;0;7;0;11;19
"150500 Nova Timboteua";0;0;0;3;0;7;10
"150503 Novo Progresso";6;2;3;38;1;48;98
"150506 Novo Repartimento";2;3;0;42;0;53;100
"150510 Óbidos";0;0;0;39;0;52;91
"150520 Oeiras do Pará";0;0;0;5;0;5;10
"150530 Oriximiná";6;1;0;40;0;30;77
"150540 Ourém";0;0;0;5;0;11;16
"150543 Ourilândia do Norte";2;1;0;19;1;24;47
"150548 Pacajá";3;0;0;16;0;34;53
"150549 Palestina do Pará";0;0;0;3;0;4;7
"150550 Paragominas";19;12;0;129;1;148;309
"150553 Parauapebas";31;42;0;350;1;194;618
"150555 Pau D'Arco";0;0;0;5;0;3;8
"150560 Peixe-Boi";1;0;0;5;0;3;9
"150563 Piçarra";3;1;0;6;0;7;17
"150565 Placas";0;0;0;7;0;6;13
"150570 Ponta de Pedras";1;2;0;14;0;8;25
"150580 Portel";1;0;0;4;0;3;8
"150590 Porto de Moz";0;0;0;4;0;1;5
"150600 Prainha";0;0;0;3;0;10;13
"150610 Primavera";0;0;0;9;0;17;26
"150611 Quatipuru";2;0;0;12;0;10;24
"150613 Redenção";22;14;1;105;0;171;313
"150616 Rio Maria";1;1;0;23;0;19;44
"150618 Rondon do Pará";0;2;0;22;0;51;75
"150619 Rurópolis";0;0;0;6;0;8;14
"150620 Salinópolis";1;0;0;31;0;38;70
"150630 Salvaterra";2;2;0;15;0;16;35
"150635 Santa Bárbara do Pará";3;1;0;11;0;18;33
"150640 Santa Cruz do Arari";0;1;0;2;0;3;6
"150650 Santa Isabel do Pará";6;3;0;36;0;65;110
"150655 Santa Luzia do Pará";0;1;0;5;0;2;8
"150658 Santa Maria das Barreiras";0;0;0;4;0;6;10
"150660 Santa Maria do Pará";3;2;1;24;0;36;66
"150670 Santana do Araguaia";5;1;0;36;0;30;72
"150680 Santarém";15;10;0;422;2;392;841
"150690 Santarém Novo";0;0;1;3;0;9;13
"150700 Santo Antônio do Tauá";3;0;0;22;0;14;39
"150710 São Caetano de Odivelas";3;1;0;18;0;13;35
"150715 São Domingos do Araguaia";0;1;0;14;0;19;34
"150720 São Domingos do Capim";0;1;0;11;0;10;22
"150730 São Félix do Xingu";5;4;0;58;0;60;127
"150740 São Francisco do Pará";1;0;0;8;0;15;24
"150745 São Geraldo do Araguaia";1;4;0;24;0;15;44
"150746 São João da Ponta";0;1;0;3;0;1;5
"150747 São João de Pirabas";0;0;0;13;0;12;25
"150750 São João do Araguaia";1;0;0;4;0;7;12
"150760 São Miguel do Guamá";2;4;1;45;0;55;107
"150770 São Sebastião da Boa Vista";2;0;0;7;0;8;17
"150775 Sapucaia";0;0;0;7;0;5;12
"150780 Senador José Porfírio";0;1;0;2;0;2;5
"150790 Soure";2;5;0;19;0;19;45
"150795 Tailândia";7;5;0;72;1;79;164
"150796 Terra Alta";0;1;0;5;0;3;9
"150797 Terra Santa";0;0;0;5;0;5;10
"150800 Tomé-Açu";4;4;0;38;0;43;89
"150803 Tracuateua";3;0;0;4;0;16;23
"150805 Trairão";0;1;0;3;0;6;10
"150808 Tucumã";3;0;0;22;0;43;68
"150810 Tucuruí";14;11;0;121;0;224;370
"150812 Ulianópolis";2;1;0;17;0;22;42
"150815 Uruará";0;2;0;9;0;14;25
"150820 Vigia";11;0;0;42;0;45;98
"150830 Viseu";0;0;0;12;0;26;38
"150835 Vitória do Xingu";0;0;0;3;0;4;7
"150840 Xinguara";2;0;0;23;0;27;52
"150000 Município ignorado - PA";1;0;0;0;0;1;2
"160010 Amapá";0;0;0;1;0;5;6
"160020 Calçoene";0;2;1;17;0;14;34
"160021 Cutias";0;0;0;4;0;2;6
"160023 Ferreira Gomes";0;1;0;5;0;2;8
"160025 Itaubal";0;0;0;4;0;1;5
"160027 Laranjal do Jari";4;3;0;31;0;31;69
"160030 Macapá";190;54;1;601;0;622;1468
"160040 Mazagão";1;1;0;8;0;6;16
"160050 Oiapoque";6;8;0;45;8;44;111
"160015 Pedra Branca do Amapari";0;0;0;10;0;5;15
"160053 Porto Grande";2;0;0;11;0;4;17
"160060 Santana";23;8;0;102;0;60;193
"160005 Serra do Navio";0;0;0;1;0;2;3
"160070 Tartarugalzinho";1;0;0;6;0;6;13
"160080 Vitória do Jari";1;1;0;7;0;14;23
"170030 Aguiarnópolis";0;0;0;14;0;9;23
"170035 Aliança do Tocantins";3;3;0;4;1;8;19
"170040 Almas";1;0;0;3;0;2;6
"170070 Alvorada";2;0;0;9;0;3;14
"170100 Ananás";0;2;0;8;0;9;19
"170105 Angico";0;0;0;1;0;0;1
"170110 Aparecida do Rio Negro";0;0;0;1;0;0;1
"170130 Aragominas";0;0;0;2;1;0;3
"170190 Araguacema";1;1;0;3;0;3;8
"170200 Araguaçu";0;0;0;5;0;3;8
"170210 Araguaína";58;7;1;236;2;153;457
"170215 Araguanã";0;0;0;4;0;1;5
"170220 Araguatins";7;2;0;29;0;18;56
"170230 Arapoema";0;1;0;7;0;3;11
"170240 Arraias";0;0;0;0;0;1;1
"170255 Augustinópolis";2;0;0;12;0;7;21
"170270 Aurora do Tocantins";0;0;0;1;0;1;2
"170290 Axixá do Tocantins";2;0;0;12;0;7;21
"170300 Babaçulândia";0;0;0;8;0;3;11
"170305 Bandeirantes do Tocantins";0;0;0;1;0;0;1
"170307 Barra do Ouro";0;0;0;1;0;1;2
"170310 Barrolândia";2;0;0;4;0;5;11
"170320 Bernardo Sayão";0;1;0;4;0;1;6
"170330 Bom Jesus do Tocantins";0;0;0;2;0;0;2
"170360 Brasilândia do Tocantins";0;0;0;4;0;0;4
"170370 Brejinho de Nazaré";1;1;0;3;0;1;6
"170380 Buriti do Tocantins";1;0;0;2;0;1;4
"170384 Campos Lindos";0;1;0;1;0;0;2
"170386 Cariri do Tocantins";0;0;0;2;0;1;3
"170388 Carmolândia";0;0;0;2;0;1;3
"170389 Carrasco Bonito";0;0;0;2;0;0;2
"170390 Caseara";0;0;0;1;0;3;4
"170510 Chapada da Natividade";0;1;0;2;0;0;3
"170460 Chapada de Areia";0;0;0;5;0;0;5
"170550 Colinas do Tocantins";13;1;0;29;0;19;62
"171670 Colméia";1;0;1;3;0;10;15
"170555 Combinado";0;1;0;0;0;1;2
"170560 Conceição do Tocantins";0;0;0;1;0;1;2
"170600 Couto de Magalhães";0;0;0;7;0;4;11
"170610 Cristalândia";2;2;0;4;0;2;10
"170650 Darcinópolis";0;0;0;8;0;1;9
"170700 Dianópolis";1;4;0;12;0;8;25
"170710 Divinópolis do Tocantins";0;0;0;2;0;3;5
"170720 Dois Irmãos do Tocantins";0;0;0;1;0;2;3
"170730 Dueré";0;0;0;2;0;0;2
"170740 Esperantina";1;0;0;8;0;3;12
"170755 Fátima";0;0;0;1;0;1;2
"170765 Figueirópolis";1;0;0;4;0;4;9
"170770 Filadélfia";1;0;0;5;1;2;9
"170820 Formoso do Araguaia";3;1;0;8;0;9;21
"170825 Fortaleza do Tabocão";1;1;0;4;0;1;7
"170830 Goianorte";0;0;0;1;0;0;1
"170900 Goiatins";0;0;0;6;0;5;11
"170930 Guaraí";3;2;0;32;0;14;51
"170950 Gurupi";37;13;1;64;2;60;177
"170980 Ipueiras";0;0;0;0;0;2;2
"171050 Itacajá";0;0;0;2;0;0;2
"171070 Itaguatins";0;0;0;1;0;2;3
"171150 Jaú do Tocantins";0;0;0;0;0;2;2
"171190 Lagoa da Confusão";1;0;0;5;7;7;20
"171200 Lajeado";1;0;0;1;0;3;5
"171245 Luzinópolis";0;0;0;2;0;0;2
"171250 Marianópolis do Tocantins";0;0;2;0;0;5;7
"171270 Mateiros";0;1;0;0;0;0;1
"171280 Maurilândia do Tocantins";0;0;0;1;0;0;1
"171320 Miracema do Tocantins";5;1;0;17;0;12;35
"171330 Miranorte";5;2;0;8;0;9;24
"171360 Monte do Carmo";1;0;0;1;0;0;2
"171370 Monte Santo do Tocantins";0;0;0;1;0;0;1
"171395 Muricilândia";0;0;0;1;0;2;3
"171420 Natividade";0;2;0;2;0;5;9
"171430 Nazaré";0;0;0;2;0;3;5
"171488 Nova Olinda";2;0;0;10;0;7;19
"171500 Nova Rosalândia";0;0;0;0;0;3;3
"171510 Novo Acordo";0;0;0;1;0;2;3
"171515 Novo Alegre";0;0;0;1;0;0;1
"171525 Novo Jardim";0;0;0;3;0;0;3
"172100 Palmas";190;47;0;247;0;231;715
"171570 Palmeirante";0;0;0;4;0;1;5
"171380 Palmeiras do Tocantins";1;0;0;4;0;1;6
"171575 Palmeirópolis";1;0;0;2;0;2;5
"171610 Paraíso do Tocantins";7;2;1;23;0;33;66
"171620 Paranã";0;1;0;0;0;0;1
"171630 Pau D'Arco";1;0;0;1;0;2;4
"171650 Pedro Afonso";1;1;0;5;0;6;13
"171660 Peixe";0;2;0;6;0;7;15
"171665 Pequizeiro";0;1;0;3;0;1;5
"171720 Piraquê";0;0;0;4;0;1;5
"171750 Pium";0;1;0;2;0;1;4
"171780 Ponte Alta do Bom Jesus";1;2;0;1;0;0;4
"171790 Ponte Alta do Tocantins";0;0;0;1;0;0;1
"171820 Porto Nacional";7;6;2;15;0;34;64
"171830 Praia Norte";3;0;0;4;0;1;8
"171840 Presidente Kennedy";2;0;0;5;0;1;8
"171845 Pugmil";0;0;0;7;0;1;8
"171855 Riachinho";1;0;0;1;0;0;2
"171870 Rio dos Bois";0;0;0;1;0;0;1
"171875 Rio Sono";0;0;0;1;0;1;2
"171880 Sampaio";0;0;0;4;0;1;5
"171886 Santa Fé do Araguaia";1;0;0;8;0;0;9
"171888 Santa Maria do Tocantins";0;0;0;1;0;0;1
"171889 Santa Rita do Tocantins";1;0;0;1;0;0;2
"171890 Santa Rosa do Tocantins";1;0;0;3;0;1;5
"171900 Santa Tereza do Tocantins";0;0;0;3;0;1;4
"172000 Santa Terezinha do Tocantins";0;0;0;0;0;2;2
"172010 São Bento do Tocantins";1;0;0;1;0;3;5
"172015 São Félix do Tocantins";0;0;0;0;0;1;1
"172020 São Miguel do Tocantins";1;1;0;6;0;12;20
"172025 São Salvador do Tocantins";1;2;0;1;0;0;4
"172030 São Sebastião do Tocantins";0;0;0;3;0;7;10
"172049 São Valério da Natividade";0;0;0;0;0;2;2
"172065 Silvanópolis";0;0;0;1;0;2;3
"172080 Sítio Novo do Tocantins";1;1;0;5;0;4;11
"172085 Sucupira";0;1;0;1;0;0;2
"172090 Taguatinga";2;3;0;7;0;2;14
"172093 Taipas do Tocantins";0;0;0;0;0;1;1
"172097 Talismã";0;0;0;3;0;1;4
"172110 Tocantínia";1;1;0;3;1;5;11
"172120 Tocantinópolis";3;0;0;21;0;11;35
"172130 Tupiratins";1;0;0;0;0;0;1
"172208 Wanderlândia";4;3;1;21;0;8;37
"172210 Xambioá";3;2;0;14;0;8;27
"170000 Município ignorado - TO";0;0;0;0;0;1;1
"210005 Açailândia";26;4;0;108;0;104;242
"210010 Afonso Cunha";1;0;0;3;0;2;6
"210015 Água Doce do Maranhão";2;0;0;3;0;4;9
"210020 Alcântara";1;1;0;9;0;6;17
"210030 Aldeias Altas";0;1;0;17;0;15;33
"210040 Altamira do Maranhão";1;0;0;2;0;3;6
"210043 Alto Alegre do Maranhão";10;7;0;47;1;44;109
"210047 Alto Alegre do Pindaré";0;0;0;4;0;0;4
"210050 Alto Parnaíba";1;0;0;2;0;2;5
"210055 Amapá do Maranhão";0;0;0;3;0;3;6
"210060 Amarante do Maranhão";1;0;0;6;0;6;13
"210070 Anajatuba";0;1;0;4;0;1;6
"210080 Anapurus";1;0;1;3;0;2;7
"210083 Apicum-Açu";4;1;0;15;0;9;29
"210087 Araguanã";0;0;0;10;1;7;18
"210090 Araioses";0;1;0;8;0;12;21
"210095 Arame";0;1;0;3;0;4;8
"210100 Arari";5;1;0;22;0;16;44
"210110 Axixá";0;1;0;10;0;11;22
"210120 Bacabal";37;55;0;112;1;180;385
"210125 Bacabeira";3;3;0;16;0;12;34
"210130 Bacuri";1;1;0;15;0;11;28
"210135 Bacurituba";0;0;0;1;0;3;4
"210140 Balsas";18;4;0;69;0;50;141
"210150 Barão de Grajaú";1;0;0;4;0;8;13
"210160 Barra do Corda";25;7;1;103;3;68;207
"210170 Barreirinhas";8;1;0;52;0;24;85
"210177 Bela Vista do Maranhão";0;1;0;3;0;6;10
"210173 Belágua";0;0;0;1;0;3;4
"210180 Benedito Leite";1;0;0;2;0;2;5
"210190 Bequimão";0;2;0;7;0;9;18
"210193 Bernardo do Mearim";1;0;0;2;0;1;4
"210197 Boa Vista do Gurupi";0;0;0;6;0;3;9
"210200 Bom Jardim";1;1;0;14;2;13;31
"210203 Bom Jesus das Selvas";0;3;0;17;1;25;46
"210207 Bom Lugar";3;0;0;3;0;1;7
"210210 Brejo";3;1;0;8;0;10;22
"210215 Brejo de Areia";0;0;0;3;0;1;4
"210220 Buriti";2;0;0;2;0;6;10
"210230 Buriti Bravo";1;0;0;3;0;9;13
"210232 Buriticupu";8;3;0;65;0;59;135
"210235 Buritirana";2;0;0;5;0;5;12
"210237 Cachoeira Grande";0;1;0;2;0;3;6
"210240 Cajapió";0;0;0;3;0;1;4
"210250 Cajari";0;0;0;3;0;2;5
"210255 Campestre do Maranhão";2;0;0;9;0;14;25
"210260 Cândido Mendes";0;0;0;4;0;1;5
"210270 Cantanhede";2;1;0;7;0;11;21
"210275 Capinzal do Norte";1;1;0;6;0;3;11
"210280 Carolina";4;1;0;23;0;5;33
"210290 Carutapera";0;0;0;15;0;8;23
"210300 Caxias";31;46;2;194;1;245;519
"210310 Cedral";0;0;0;7;0;8;15
"210312 Central do Maranhão";0;0;0;1;0;3;4
"210315 Centro do Guilherme";0;0;0;11;0;2;13
"210317 Centro Novo do Maranhão";3;1;0;8;0;6;18
"210320 Chapadinha";3;1;1;21;0;30;56
"210325 Cidelândia";4;0;0;10;0;8;22
"210330 Codó";17;27;0;160;0;182;386
"210340 Coelho Neto";2;16;0;92;0;63;173
"210350 Colinas";2;5;0;32;0;31;70
"210355 Conceição do Lago-Açu";1;4;0;9;0;9;23
"210360 Coroatá";5;10;0;41;0;43;99
"210370 Cururupu";2;10;0;12;0;21;45
"210375 Davinópolis";3;1;0;19;0;16;39
"210380 Dom Pedro";2;1;0;13;0;12;28
"210390 Duque Bacelar";0;0;0;4;0;4;8
"210400 Esperantinópolis";1;1;0;20;1;13;36
"210405 Estreito";6;4;0;30;0;24;64
"210407 Feira Nova do Maranhão";1;0;0;0;0;0;1
"210408 Fernando Falcão";2;0;0;0;0;0;2
"210409 Formosa da Serra Negra";0;0;0;4;0;1;5
"210410 Fortaleza dos Nogueiras";0;0;0;2;0;4;6
"210420 Fortuna";1;1;1;4;0;8;15
"210430 Godofredo Viana";0;0;0;4;0;3;7
"210440 Gonçalves Dias";1;2;0;3;0;4;10
"210450 Governador Archer";1;0;0;8;0;3;12
"210455 Governador Edison Lobão";3;0;0;8;0;7;18
"210460 Governador Eugênio Barros";0;4;0;6;0;15;25
"210462 Governador Luiz Rocha";0;1;0;4;0;8;13
"210465 Governador Newton Bello";0;0;0;1;0;1;2
"210467 Governador Nunes Freire";1;2;0;24;0;11;38
"210470 Graça Aranha";0;0;0;0;0;1;1
"210480 Grajaú";6;4;0;19;0;21;50
"210490 Guimarães";0;0;0;11;0;11;22
"210500 Humberto de Campos";2;0;0;19;0;22;43
"210510 Icatu";1;0;0;13;0;12;26
"210515 Igarapé do Meio";1;0;0;4;0;4;9
"210520 Igarapé Grande";2;1;0;5;0;4;12
"210530 Imperatriz";154;34;3;455;1;597;1244
"210535 Itaipava do Grajaú";0;1;0;4;0;3;8
"210540 Itapecuru Mirim";5;7;0;42;0;64;118
"210542 Itinga do Maranhão";7;2;0;26;0;32;67
"210545 Jatobá";0;0;0;4;0;2;6
"210547 Jenipapo dos Vieiras";0;0;0;3;0;1;4
"210550 João Lisboa";2;0;0;18;0;14;34
"210560 Joselândia";3;2;0;5;0;3;13
"210565 Junco do Maranhão";0;1;0;5;0;4;10
"210570 Lago da Pedra";3;2;0;32;0;19;56
"210580 Lago do Junco";0;0;0;5;0;1;6
"210594 Lago dos Rodrigues";1;0;0;2;0;3;6
"210590 Lago Verde";3;3;1;6;0;11;24
